customer_numb,customer_name,customer_street,customer_zip,customer_phone,customer_email,order_numb,order_date,order_filled,credit_card_numb,credit_card_exp_date,isbn,quantity,buy_price,author_name,title,publisher_name,publication_year,book_supplier_numb,retail_price,books_on_hand
1,"Jones, Jane",125 W. 88th Blvd.,10110,552-555-1234,jane_jones@anywhere.net,1,12/5/1999,1,123 123 123 123,7/1/2001,0-123-1233-0,1,15.95,"Dumas, Alexandre","Three Musketeers, The",Grosset & Dunlap,1953,1,15.95,10
1,"Jones, Jane",125 W. 88th Blvd.,10110,552-555-1234,jane_jones@anywhere.net,1,12/5/1999,1,123 123 123 123,7/1/2001,0-129-4912-0,1,19.95,"McCaffrey, Anne",Dragonsinger,Atheneum,1977,2,19.95,13
1,"Jones, Jane",125 W. 88th Blvd.,10110,552-555-1234,jane_jones@anywhere.net,1,12/5/1999,1,123 123 123 123,7/1/2001,0-136-3966-7,1,23.95,"Stevenson, Robert Louis",Strange Case of Dr. Jekyll and Mr. Hyde,"Dodd, Mead",1964,2,23.95,18
1,"Jones, Jane",125 W. 88th Blvd.,10110,552-555-1234,jane_jones@anywhere.net,2,7/6/2000,0,123 123 123 123,7/1/2001,0-131-4912-X,1,24.95,"Rice, Anne",Taltos,Knopf,1994,2,24.95,6
1,"Jones, Jane",125 W. 88th Blvd.,10110,552-555-1234,jane_jones@anywhere.net,2,7/6/2000,0,123 123 123 123,7/1/2001,0-159-3845-3,2,19.95,"Burroughs, Edgar Rice","Bandit of Hell's Bend, The",Gregg Press,1925,2,19.95,12
2,"Smith, Tom",4592 Maple Lane,12345,555-555-4321,tom_smith@this.net,3,11/12/1999,0,234 234 234 234,11/1/2000,0-131-4966-9,1,23.95,"Rice, Anne",Lasher,Knopf,1993,1,23.95,15
2,"Smith, Tom",4592 Maple Lane,12345,555-555-4321,tom_smith@this.net,3,11/12/1999,0,234 234 234 234,11/1/2000,0-150-5948-9,1,19.95,"Bronte, Charlotte",Jane Eyre,Random House,1943,3,19.95,15
2,"Smith, Tom",4592 Maple Lane,12345,555-555-4321,tom_smith@this.net,3,11/12/1999,0,234 234 234 234,11/1/2000,0-180-4712-X,2,19.95,"Butler, Octavia",Mind of My Mind,Doubleday,1977,1,19.95,4
2,"Smith, Tom",4592 Maple Lane,12345,555-555-4321,tom_smith@this.net,3,11/12/1999,0,234 234 234 234,11/1/2000,0-191-4934-8,1,23.95,"Cherryh, C. J.",Heavy Time,Warner Books,1991,2,23.95,7
2,"Smith, Tom",4592 Maple Lane,12345,555-555-4321,tom_smith@this.net,4,3/18/2000,0,234 234 234 234,11/1/2000,0-140-3877-0,1,27.95,"Scott, Sir Walter",Waverly Novels,University of Nebraska Press,1978,4,27.95,3
2,"Smith, Tom",4592 Maple Lane,12345,555-555-4321,tom_smith@this.net,5,7/6/2000,1,234 234 234 234,11/1/2000,0-124-2999-9,1,18.95,"Twain, Mark",Celebrated Jumping Frog of Calaveras County,Harper,1903,1,18.95,5
2,"Smith, Tom",4592 Maple Lane,12345,555-555-4321,tom_smith@this.net,5,7/6/2000,1,234 234 234 234,11/1/2000,0-140-3877-0,1,27.95,"Scott, Sir Walter",Waverly Novels,University of Nebraska Press,1978,4,27.95,3
2,"Smith, Tom",4592 Maple Lane,12345,555-555-4321,tom_smith@this.net,5,7/6/2000,1,234 234 234 234,11/1/2000,0-180-7388-1,1,21.95,"Cherryh, C. J.","Faded Sun, Kesrith, The",Doubleday,1978,3,21.95,8
3,"Johnson, Mary",98 Elm St.,23456,551-555-4567,mary_johnson@somewhere.net,6,8/15/1999,1,345 345 345 345,1/2/2001,0-132-3949-2,2,15.95,"Twain, Mark","Prince and the Pauper, The",James R. Osgood and Co.,1882,3,19.95,10
3,"Johnson, Mary",98 Elm St.,23456,551-555-4567,mary_johnson@somewhere.net,6,8/15/1999,1,345 345 345 345,1/2/2001,0-142-0084-2,1,21.95,"Butler, Octavia",Clay's Ark,St. Martin's Press,1984,2,21.95,12
3,"Johnson, Mary",98 Elm St.,23456,551-555-4567,mary_johnson@somewhere.net,6,8/15/1999,1,345 345 345 345,1/2/2001,0-151-9876-2,1,21.95,"Bronte, Charlotte",Vilette,Clarendon Press,1984,3,21.95,15
3,"Johnson, Mary",98 Elm St.,23456,551-555-4567,mary_johnson@somewhere.net,6,8/15/1999,1,345 345 345 345,1/2/2001,0-180-7400-X,1,21.95,"Cherryh, C. J.","Faded Sun, Shon'jir, The",Doubleday,1978,3,21.95,5
3,"Johnson, Mary",98 Elm St.,23456,551-555-4567,mary_johnson@somewhere.net,6,8/15/1999,1,345 345 345 345,1/2/2001,0-191-4934-8,1,23.95,"Cherryh, C. J.",Heavy Time,Warner Books,1991,2,23.95,7
3,"Johnson, Mary",98 Elm St.,23456,551-555-4567,mary_johnson@somewhere.net,7,12/2/1999,1,345 345 345 345,1/2/2001,0-135-2222-2,5,24.95,"Stevenson, Robert Louis",Treasure Island,J. W. Lovell Co.,1886,4,24.95,8
3,"Johnson, Mary",98 Elm St.,23456,551-555-4567,mary_johnson@somewhere.net,7,12/2/1999,1,345 345 345 345,1/2/2001,0-141-9876-4,5,21.95,"Bronte, Emily","Complete Poems of Emily Jane Bronte, The",Columbia University Press,1941,4,21.95,5
3,"Johnson, Mary",98 Elm St.,23456,551-555-4567,mary_johnson@somewhere.net,7,12/2/1999,1,345 345 345 345,1/2/2001,0-191-4934-8,1,23.95,"Cherryh, C. J.",Heavy Time,Warner Books,1991,2,23.95,7
4,"Smith, John",867 Apple Tree Road,10111,552-555-9876,john_smith@somewhere.net,8,11/22/1999,0,456 456 456 456,4/1/2001,0-127-3948-2,1,15.95,"Dumas, Alexandre","Corsican Brothers, The",Metheun,1970,1,15.95,5
4,"Smith, John",867 Apple Tree Road,10111,552-555-9876,john_smith@somewhere.net,8,11/22/1999,0,456 456 456 456,4/1/2001,0-130-2939-4,1,21.95,"McCaffrey, Anne","White Dragon, The",Ballantine Books,1978,2,21.95,8
4,"Smith, John",867 Apple Tree Road,10111,552-555-9876,john_smith@somewhere.net,8,11/22/1999,0,456 456 456 456,4/1/2001,0-131-4912-X,1,24.95,"Rice, Anne",Taltos,Knopf,1994,2,24.95,6
4,"Smith, John",867 Apple Tree Road,10111,552-555-9876,john_smith@somewhere.net,8,11/22/1999,0,456 456 456 456,4/1/2001,0-133-5935-2,1,17.95,"Twain, Mark",Pudd'nhead Wilson,American Publishing Co.,1894,3,17.95,8
4,"Smith, John",867 Apple Tree Road,10111,552-555-9876,john_smith@somewhere.net,8,11/22/1999,0,456 456 456 456,4/1/2001,0-161-0123-9,1,21.95,"Ludlum, Robert","Bourne Identify, The",R. Marek Publishers,1980,3,23.95,10
4,"Smith, John",867 Apple Tree Road,10111,552-555-9876,john_smith@somewhere.net,8,11/22/1999,0,456 456 456 456,4/1/2001,0-167-1945-1,1,24.95,"Barth, John","Floating Opera and The End of the Road, The",Anchor Press,1988,4,24.95,9
4,"Smith, John",867 Apple Tree Road,10111,552-555-9876,john_smith@somewhere.net,8,11/22/1999,0,456 456 456 456,4/1/2001,0-180-4712-X,1,19.95,"Butler, Octavia",Mind of My Mind,Doubleday,1977,1,19.95,4
4,"Smith, John",867 Apple Tree Road,10111,552-555-9876,john_smith@somewhere.net,8,11/22/1999,0,456 456 456 456,4/1/2001,0-190-3967-5,1,22.95,"Lee, Tanith","Book of the Dead, The",Overlook Press,1991,4,22.95,3
4,"Smith, John",867 Apple Tree Road,10111,552-555-9876,john_smith@somewhere.net,9,1/6/2000,0,456 456 456 456,4/1/2001,0-140-3877-0,1,27.95,"Scott, Sir Walter",Waverly Novels,University of Nebraska Press,1978,4,27.95,3
4,"Smith, John",867 Apple Tree Road,10111,552-555-9876,john_smith@somewhere.net,9,1/6/2000,0,456 456 456 456,4/1/2001,0-159-5839-3,1,19.95,"Burroughs, Edgar Rice",Apache Devil,Gregg Press,1933,2,19.95,4
5,"Jones, Emily",7921 Fir Road,12344,555-555-7654,emily_jones@somewhere.net,10,3/12/2000,1,567 567 567 567,5/1/2000,0-132-3949-2,1,19.95,"Twain, Mark","Prince and the Pauper, The",James R. Osgood and Co.,1882,3,19.95,10
5,"Jones, Emily",7921 Fir Road,12344,555-555-7654,emily_jones@somewhere.net,10,3/12/2000,1,567 567 567 567,5/1/2000,0-136-3956-1,1,22.95,"Stevenson, Robert Louis",Kidnapped,"Dodd, Mead",1949,2,22.95,12
5,"Jones, Emily",7921 Fir Road,12344,555-555-7654,emily_jones@somewhere.net,10,3/12/2000,1,567 567 567 567,5/1/2000,0-142-0084-2,1,21.95,"Butler, Octavia",Clay's Ark,St. Martin's Press,1984,2,21.95,12
5,"Jones, Emily",7921 Fir Road,12344,555-555-7654,emily_jones@somewhere.net,10,3/12/2000,1,567 567 567 567,5/1/2000,0-155-2346-5,1,18.95,"Burroughs, Edgar Rice",Tarzan and the Forbidden City,"E. R. burroughs, Inc.",1938,2,18.95,12
6,"Johnson, Peter",709 Hemlock St.,12345,555-555-3456,peter_johnson@anywhere.net,11,9/19/1999,0,678 678 678 678,12/1/2000,0-127-3948-2,1,15.95,"Dumas, Alexandre","Corsican Brothers, The",Metheun,1970,1,15.95,5
6,"Johnson, Peter",709 Hemlock St.,12345,555-555-3456,peter_johnson@anywhere.net,11,9/19/1999,0,678 678 678 678,12/1/2000,0-134-3945-7,1,21.95,"Stevenson, Robert Louis","Child's Garden of Verses, A",Scribner,1905,4,21.95,12
6,"Johnson, Peter",709 Hemlock St.,12345,555-555-3456,peter_johnson@anywhere.net,11,9/19/1999,0,678 678 678 678,12/1/2000,0-166-8394-3,1,27.95,"Barth, John","Sot-Weed Factor, The",Franklin Library,1980,3,27.95,6
6,"Johnson, Peter",709 Hemlock St.,12345,555-555-3456,peter_johnson@anywhere.net,12,3/12/2000,0,678 678 678 678,12/1/2000,0-130-2939-4,1,21.95,"McCaffrey, Anne","White Dragon, The",Ballantine Books,1978,2,21.95,8
6,"Johnson, Peter",709 Hemlock St.,12345,555-555-3456,peter_johnson@anywhere.net,12,3/12/2000,0,678 678 678 678,12/1/2000,0-142-0084-2,1,21.95,"Butler, Octavia",Clay's Ark,St. Martin's Press,1984,2,21.95,12
6,"Johnson, Peter",709 Hemlock St.,12345,555-555-3456,peter_johnson@anywhere.net,12,3/12/2000,0,678 678 678 678,12/1/2000,0-157-3849-X,1,19.95,"Burroughs, Edgar Rice","People that Time Forgot, The",Tandem,1975,3,19.95,8
6,"Johnson, Peter",709 Hemlock St.,12345,555-555-3456,peter_johnson@anywhere.net,12,3/12/2000,0,678 678 678 678,12/1/2000,0-161-8478-1,1,24.95,"Ludlum, Robert","Holcroft Covenant, The",R. Marek Publishers,1978,2,24.95,16
6,"Johnson, Peter",709 Hemlock St.,12345,555-555-3456,peter_johnson@anywhere.net,13,7/21/2000,1,678 678 678 678,12/1/2000,0-142-0084-2,1,21.95,"Butler, Octavia",Clay's Ark,St. Martin's Press,1984,2,21.95,12
6,"Johnson, Peter",709 Hemlock St.,12345,555-555-3456,peter_johnson@anywhere.net,13,7/21/2000,1,678 678 678 678,12/1/2000,0-160-3456-7,1,24.95,"Ludlum, Robert","Gemini Contenders, The",Dial Press,1976,3,24.95,22
6,"Johnson, Peter",709 Hemlock St.,12345,555-555-3456,peter_johnson@anywhere.net,13,7/21/2000,1,678 678 678 678,12/1/2000,0-180-8655-0,1,18.95,"Butler, Octavia",Kindred,Doubleday,1979,3,18.95,8
6,"Johnson, Peter",709 Hemlock St.,12345,555-555-3456,peter_johnson@anywhere.net,13,7/21/2000,1,678 678 678 678,12/1/2000,0-191-4959-2,1,18.95,"Cherryh, C. J.",Cyteen,Warner Books,1988,2,18.95,5
7,"Hayes, Edna",158 Oak Road,23458,551-555-1234,edna_hayes@this.net,14,12/13/1999,0,789 789 789 789,12/2/2001,0-130-3941-7,1,24.95,"Rice, Anne","Feast of All Saints, The",Ballantine Books,1992,2,24.95,18
7,"Hayes, Edna",158 Oak Road,23458,551-555-1234,edna_hayes@this.net,14,12/13/1999,0,789 789 789 789,12/2/2001,0-131-4912-X,1,24.95,"Rice, Anne",Taltos,Knopf,1994,2,24.95,6
7,"Hayes, Edna",158 Oak Road,23458,551-555-1234,edna_hayes@this.net,14,12/13/1999,0,789 789 789 789,12/2/2001,0-137-1293-9,1,21.95,"Scott, Sir Walter",Rob Roy,D. Appleton & Co.,1898,4,21.95,22
7,"Hayes, Edna",158 Oak Road,23458,551-555-1234,edna_hayes@this.net,14,12/13/1999,0,789 789 789 789,12/2/2001,0-157-3849-X,1,19.95,"Burroughs, Edgar Rice","People that Time Forgot, The",Tandem,1975,3,19.95,8
7,"Hayes, Edna",158 Oak Road,23458,551-555-1234,edna_hayes@this.net,14,12/13/1999,0,789 789 789 789,12/2/2001,0-159-5839-3,1,19.95,"Burroughs, Edgar Rice",Apache Devil,Gregg Press,1933,2,19.95,4
